area_code,year,life_expectancy,imd_score,imd_decile,physiological_score,behavioural_score
E08000018,2016,79.843665,29.55,3,85.9,97
E08000018,2017,79.82499999999999,29.55,3,85.3,96.6
E08000018,2018,79.24000000000001,29.55,3,92.8,89.8
E08000019,2015,80.808695,27.06,3,103.7,99.1
E08000019,2016,80.82063,27.06,3,103.8,101.2
E08000019,2017,80.885,27.06,3,103.1,99.8
E08000019,2018,80.47,27.06,3,101.4,102.6
E08000021,2015,79.60185,29.79,3,104.2,93.9
E08000021,2016,79.79574500000001,29.79,3,104.1,94.7
E08000021,2017,79.94,29.79,3,105,93.7
E08000021,2018,79.475,29.79,3,105.1,90.9
E08000022,2015,80.04872,22.279,6,88.8,92.9
E08000022,2016,80.08485999999999,22.279,6,88.3,93.8
E08000022,2017,80.09,22.279,6,94.5,89.1
E08000022,2018,80.24,22.279,6,92.3,83.8
E08000023,2015,79.706365,31.509,2,87.7,86.8
E08000023,2016,79.2379,31.509,2,87.3,86.3
E08000023,2017,79.37,31.509,2,84.5,83.7
E08000023,2018,78.82499999999999,31.509,2,84.2,83.8
E08000024,2015,79.16119,30.586,2,91.9,89.7
E08000024,2016,79.293935,30.586,2,91.6,90.9
E08000024,2017,79.185,30.586,2,87.4,86.7
E08000024,2018,78.725,30.586,2,84.1,85.7
E08000025,2015,79.777095,38.067,1,97.4,95.7
E08000025,2016,79.88143,38.067,1,97.1,98
E08000025,2017,80.1,38.067,1,97.5,97.1
E08000025,2018,79.43,38.067,1,93.7,93.2
E08000026,2015,80.344735,25.613,5,99.1,93.2
E08000026,2016,80.44354000000001,25.613,5,99.7,97.1
E08000026,2017,80.44,25.613,5,99.4,92.8
E08000026,2018,79.97,25.613,5,99.3,92.3
E08000027,2015,80.893535,24.103,5,87.9,90.2
E08000027,2016,80.85969,24.103,5,86.4,94.7
E08000027,2017,81.035,24.103,5,83,99.4
E08000027,2018,80.50999999999999,24.103,5,86.3,99.4
E08000028,2015,79.187595,34.884,1,84,91.6
E08000028,2016,79.00466499999999,34.884,1,82.1,94.5
E08000028,2017,79.15,34.884,1,81.7,90.5
E08000028,2018,78.405,34.884,1,80,95.5
E08000029,2015,82.2467,17.37,8,96,102.1
E08000029,2016,82.2025,17.37,8,96.1,102.6
E08000029,2017,82.52,17.37,8,95.4,100.4
E08000029,2018,82.2,17.37,8,101,100.9
E08000030,2015,79.667455,31.555,2,88.6,95.4
E08000030,2016,79.76621,31.555,2,88.7,93.7
E08000030,2017,79.895,31.555,2,85.4,93.9
E08000030,2018,79.595,31.555,2,85.1,96.5
E08000031,2015,79.25563,32.102,2,88.1,86.1
E08000031,2016,79.29129,32.102,2,88.6,90.9
E08000031,2017,79.6,32.102,2,90.8,91.5
E08000031,2018,78.92,32.102,2,89.8,83.4
E08000032,2015,79.66704,34.666,1,89.7,90.2
E08000032,2016,79.713945,34.666,1,89.3,92.6
E08000032,2017,79.98,34.666,1,93.4,92.6
E08000032,2018,79.42500000000001,34.666,1,94.3,88
E08000033,2015,80.32797,26.351,4,101.9,98.8
E08000033,2016,80.24163,26.351,4,101.3,98.4
E08000033,2017,80.515,26.351,4,99.9,95.5
E08000033,2018,80.50999999999999,26.351,4,91.7,97
E08000034,2015,80.55172999999999,25.151,5,100.1,99.1
E08000034,2016,80.51358,25.151,5,99.8,97.9
E08000034,2017,80.61500000000001,25.151,5,95.7,96.6
E08000034,2018,80.28,25.151,5,97.6,97.4
E08000035,2015,80.147695,27.301,3,105.7,96.9
E08000035,2016,80.19787500000001,27.301,3,105.3,96.5
E08000035,2017,80.14,27.301,3,101.9,97.5
E08000035,2018,79.78,27.301,3,103.2,98.4
E08000036,2015,79.904145,27.306,3,92.2,87.5
E08000036,2016,80.11819,27.306,3,91.6,90.3
E08000036,2017,79.97,27.306,3,88.2,90
E08000036,2018,79.35,27.306,3,87.4,87.4
E08000037,2015,79.46243,28.217,3,89.1,88.7
E08000037,2016,79.446595,28.217,3,89,88.7
E08000037,2017,79.775,28.217,3,88,87.3
E08000037,2018,79.475,28.217,3,88.2,85.3
E09000002,2015,79.991735,32.768,2,94.4,99
E09000002,2016,80.32511500000001,32.768,2,93.3,96.8
E09000002,2017,80.2,32.768,2,98.7,103.4
E09000002,2018,79.345,32.768,2,95.2,95.1
E09000003,2015,83.802145,16.148,8,113.2,107.9
E09000003,2016,84.11945,16.148,8,113.4,110.3
